soil_class_name,gamma_sat,gamma_wet,D50,Fc
コンクリート,23,22,,0
シルト,17.5,15.5,0.025,75
シルト、粘土質シルト互層,17.0,15.0,0.02,80
シルト、細砂,18.0,16.0,0.04,65
シルト・微細砂互層,18.0,16.0,0.03,67
シルト・盛土,18.5,16.5,0.025,68
シルト混じり中砂,19.0,17.0,0.35,20
シルト混じり中細砂,18.5,16.5,0.10,30
シルト混じり微細砂,18.0,16.0,0.07,40
シルト混じり粘土,18.0,16.0,0.02,70
シルト混じり細中砂,19.0,17.0,0.25,25
シルト混じり細砂,18.5,16.5,0.15,35
シルト混り微細砂,18.0,16.0,0.07,45
シルト混り砂,20.0,18.0,0.30,15
シルト混り細砂,18.5,16.5,0.15,35
シルト細砂互層,18.0,16.0,0.15,60
シルト質中砂,19.0,17.0,0.30,20
シルト質微細砂,18.0,16.0,0.07,45
シルト質粘土,17.0,15.0,0.02,75
シルト質粘性土,17.0,15.0,0.02,75
シルト質細砂,18.0,16.0,0.07,50
ヘドロ,14.0,12.5,0.001,95
中砂,20.0,18.0,0.35,10
中細砂,19.5,17.5,0.25,15
埋土,21.0,19.0,0.5,5
埋土、シルト質細砂,18.5,16.5,0.07,55
埋土、砂混じりシルト,18.0,16.0,0.1,65
埋土、礫混じり砂,22.0,20.0,1.5,0
埋土、細砂,19.0,17.0,0.15,30
埋木,15.0,12.0,0.001,0
微砂,18.0,16.0,0.07,45
微細砂,18.0,16.0,0.07,50
微細砂、細砂互層,18.5,16.5,0.1,45
有機質土,14.0,12.5,0.001,90
有機質土混り粘性土,15.0,13.0,0.002,85
有機質土混り粘性土、砂,16.0,14.0,0.07,80
玉石混じり中砂,22.0,20.0,1.0,5
玉石混じり細砂,20.5,18.5,0.4,0
玉石混り中砂,22.0,20.0,1.0,5
盛土,19.0,17.0,0.25,25
盛土(シルト),18.0,16.0,0.05,60
盛土(礫混り中砂),20.5,18.5,0.5,5
盛土、砂質シルト,19.0,17.0,0.10,50
盛土、礫混じり砂,21.0,19.0,1.0,5
盛土、礫混じり細砂,20.0,18.0,0.4,10
盛土、細砂,18.5,16.5,0.15,30
盛土・砂質シルト,19.0,17.0,0.10,50
盛土・細砂,18.5,16.5,0.15,30
盛土（砂混じり粘土）,18.0,15.5,0.07,60
盛土（砂）,19.0,16.5,0.25,40
砂,20.0,18.0,0.5,10
砂混じりシルト,18.0,16.0,0.07,55
砂混じり粘土,18.0,15.5,0.05,65
砂混りシルト,18.0,16.0,0.07,55
砂礫,21.0,19.0,2.0,0
砂質シルト,18.0,16.0,0.04,65
砂質シルト、シルト,18.0,16.0,0.03,70
砕石,21.0,19.0,2.5,0
砕石 (埋土),21.0,19.0,2.5,0
礫混じりシルト混じり中砂,20.5,18.5,0.35,15
礫混じりシルト質細砂,19.5,17.5,0.15,40
礫混じり中砂,21.0,19.0,0.6,5
礫混じり砂(埋土),21.0,19.0,1.0,5
礫混じり粘土,19.0,17.0,0.1,40
礫混じり細砂,20.0,18.0,0.4,10
礫混じり細砂・盛土,20.0,18.0,0.4,10
粗中砂,20.5,18.5,0.5,0
粗砂,20.0,18.0,0.6,0
粘土,18.0,15.0,0.002,80
粘土(改良土),18.0,15.0,0.002,80
粘土質シルト,17.5,15.0,0.01,85
粘土質シルト、砂質シルト互層,17.8,15.3,0.02,80
粘土質シルト、細砂互層,18.2,15.7,0.05,70
粘性土、砂,17.5,15.5,0.07,75
細中砂,19.5,17.5,0.25,20
細砂,19.5,17.5,0.15,30
細砂 (埋土),19.5,17.5,0.15,30
細砂(改良土),19.5,17.5,0.15,30
細砂、微細砂互層,19.0,17.0,0.10,35
細砂から中砂,20.0,18.0,0.30,15
細砂・シルト互層,18.5,16.5,0.12,40
細砂・盛土,19.0,17.0,0.20,25
耕作土,15.0,12.5,0.003,80
腐植土,14.0,12.0,0.001,90
腐植土質粘土,15.0,12.5,0.002,85
腐植物混じりシルト質粘土,16.0,13.5,0.005,80
腐植物混じり砂混じりシルト,17.5,15.5,0.01,75
腐植物混じり砂質シルト,17.8,15.8,0.02,70
腐植物混じり粘土,15.0,12.5,0.003,85
腐植物混りシルト質粘土,16.0,13.5,0.005,80
表土,17.0,15.0,0.02,80
表土(砂混りシルト),17.5,15.5,0.03,75
表土、シルト,17.3,15.3,0.025,78
